"COD_LOJA","plu","MAPE"
1729,68765,9.63
1729,41041,10.89
1729,52375,19.77
1729,54690,21.97
1729,357111,6.33
1729,60066,21.68
1729,19422,34.56
1729,56854,0.21
1729,77453,22.64
1729,62749,21.98
1729,44349,7.08
1729,888,2.37
1729,352,3.47
1729,20336,0.34
1729,789,0.07
1729,1250,13.09
1729,83379,9.81
1729,11099,Inf
1729,46930,Inf
1729,77392,2.31
1729,44189,27.3
1729,802,4.65
1729,51705,1.06
1729,5029,3.24
1729,409520,2.45
1729,18449,0.05
1729,471145,12.05
1729,63210,31.76
1729,366793,14.01
1729,420556,0.03
1729,63173,1.13
1729,143745,6.42
1729,15035,6.33
1729,74209,20.75
1729,1335,10.28
1729,12775,4.12
1729,994996,11.31
1729,92326,6.42
1729,34500,10.25
1729,471138,0.88
1729,70942,29.21
1729,1311,25.03
1729,40372,1.36
1729,412575,11.82
1729,16339,33.33
1729,13116,10.79
1729,49771,9.94
1729,28202,20.58
1729,287739,0
1729,409476,0
1729,89586,25.84
1729,87247,18.05
1729,471053,24.59
1729,494595,5.75
1729,84994,6.01
1729,73486,12.77
1729,143981,7.03
1729,63357,2.42
1729,15059,12.04
1729,10924,13.65
1729,8440,66.67
1729,44912,3.32
1729,77231,0.19
1729,826,13.28
1729,50371,37.53
1729,471121,7.75
1729,52542,3.97
1729,409506,5.66
1729,59985,6.76
1729,376,20.46
1729,409568,16.41
1729,81641,10.36
1729,11662,6.07
1729,418492,24.06
1729,378055,2.16
1729,95877,2.01
1729,6668,5.39
1729,12010,18.92
1729,89326,3.82
1729,1281,9.66
1729,61315,2.25
1729,216944,11.74
1729,244640,6.23
1729,19125,37.8
1729,80347,29.18
1729,420,Inf
1729,5951,22.26
1729,24297,2.86
1729,66136,16.61
1729,46060,4.98
1729,32629,0.15
1729,132145,53.77
1729,25645,24.49
1729,12614,9.2
1729,36559,2.61
1729,77224,5.41
1729,98243,1.36
1729,21111,55.46
1729,9638,2.28
1729,8280,7.15
1729,83478,24.05
1729,89135,22.38
1729,80095,5.13
1729,12997,9.07
1729,77910,7.03
1729,536,6.06
1729,105491,0.39
1729,120951,3.61
1729,444,7.15
1729,52559,13.17
1729,617987,1.13
1729,120975,Inf
1729,418508,22.43
1729,131124,9.32
1729,16926,1.43
1729,31240,10.3
1729,10528,26.16
1729,280877,3.94
1729,65795,17.73
1729,280860,3.95
1729,42659,1.79
1729,99479,0.04
1729,471114,11.49
1729,14441,10.8
1729,16087,0.03
1729,280884,14.56
1729,12249,16.93
1729,10191,8.89
1729,216760,5.5
1729,74667,24.44
1729,447713,0.65
1729,19934,1.61
1729,54270,Inf
1729,222945,13.4
1729,92388,Inf
1729,12768,12.17
1729,139465,2.74
1729,39345,1
1729,140195,0.06
1729,76395,4.96
1729,421935,0.51
1729,71727,Inf
1729,209366,3.67
1729,10238,14.92
1729,472807,27.84
1729,23986,23.86
1729,208,2.49
1729,57288,Inf
1729,79389,1.6
1729,4558927,15.49
1729,42338,Inf
1729,1733402,9.01
1729,18715,2.78
1729,426947,2.69
1729,30533,8.36
1729,66860,30.99
1729,32537,16.56
1729,442961,10.46
1729,144889,Inf
1729,473712,16.28
1729,468602,5.27
1729,468596,51.19
1729,263382,Inf
1729,32087,Inf
1729,82587,1.33
1729,88718,10.56
1729,31813,2.34
1729,62572,9.92
1729,16759,18.71
1729,280822,0
1729,345538,14.15
1729,464536,4.55
1729,4820833,8.34
1729,11068,4.31
1729,84086,1.13
1729,102100,6.33
1729,54294,3.53
1729,54300,10.53
1729,435994,0.01
1729,46510,12.5
1729,345989,5.28
1729,345668,18.97
1729,303040,23.65
1729,69045,11.53
1729,150903,3.23
1729,41034,Inf
1729,441209,2.24
1729,66389,5.07
1729,157896,8.65
1729,23634,Inf
1729,15417,18.07
1729,244466,3.4
1729,441148,1.11
1729,263610,12.21
1729,4820826,6.33
1729,466776,15.11
1729,86103,4.63
1729,447003,25.4
1729,441162,3.42
1729,150897,0.04
1729,54003,0.01
1729,102162,6.04
1729,5350490,93.18
1729,37341,18.94
1729,37839,Inf
1729,102209,21.62
1729,263733,15.16
1729,52924,19.01
1729,5698677,11.04
1729,303057,8.64
1729,25331,6.43
1729,612616,0.03
1729,9201,14.77
1729,263702,1.32
1729,32155,10.53
1729,98113,15.77
1729,150927,2.42
1729,264051,33.33
1729,229692,Inf
1729,102124,26.75
1729,998734,Inf
1729,400947,26.59
1729,10993,0
1729,40259,10.17
1729,3484524,40.68
1729,6868505,11.61
1729,11945,15.52
1729,441315,4.87
1729,314367,9.19
1729,471091,4.5
1729,99165,20.45
1729,37051,8.94
1729,25188,3.31
1729,995108,6.14
1729,102230,14.73
1729,30151,1.72
1729,263986,Inf
1729,277,0
1729,95921,11.33
1729,335751,0.08
1729,93002,23.06
1729,67263,3.93
1729,140379,23.44
1729,128728,8.15
1729,32704,32.77
1729,483964,Inf
1729,144919,Inf
1729,74896,15.87
1729,61179,6.15
1729,77521,14.02
1738,52375,10.38
1738,68765,4.38
1738,54690,2.68
1738,56854,0.34
1738,77453,0
1738,357111,18.93
1738,41041,4.88
1738,60066,22.16
1738,19422,28.38
1738,47197,Inf
1738,62749,Inf
1738,11099,33.07
1738,888,0.08
1738,789,20.92
1738,44349,6.58
1738,20336,0.24
1738,352,7.3
1738,1250,35.6
1738,83379,0
1738,1298,17.89
1738,46930,Inf
1738,77392,5.55
1738,44189,0.1
1738,802,10.13
1738,143745,0.94
1738,471145,0.05
1738,366793,3.58
1738,74209,19.03
1738,420556,0.45
1738,5029,1
1738,63210,1.21
1738,1335,22.77
1738,15035,10.59
1738,63173,3.68
1738,18449,0.02
1738,409520,11.93
1738,51705,6.65
1738,10924,28.57
1738,412575,42.4
1738,13116,8.96
1738,994996,1.19
1738,12775,16.44
1738,40372,6.93
1738,92326,5.96
1738,63357,4.5
1738,471053,2.41
1738,409476,0.02
1738,34500,5.45
1738,1311,2.87
1738,16339,9.3
1738,84994,22.94
1738,287739,20.05
1738,89586,0.03
1738,494595,19.86
1738,471138,2.43
1738,70942,13.05
1738,28202,21.2
1738,49771,0
