"COD_LOCAL","COD_PLU","DAT_DIA_CALEND","QTD_VENDA_PREVISAO_SISTEMA"
1738,441162,2019-07-11,0.5909
1341,95921,2019-07-11,2.2511
1738,54690,2019-07-11,0.541
1302,52375,2019-07-11,6.9048
2435,62749,2019-07-11,0
2435,472173,2019-07-11,0.4497
1302,50371,2019-07-11,6.1308
2435,73318,2019-07-11,0.2815
1341,5029,2019-07-11,7.5616
1738,32629,2019-07-11,1.7071
1302,13116,2019-07-11,2.7761
2435,472753,2019-07-11,0.0245
2435,417402,2019-07-11,0.268
1341,18449,2019-07-11,5e-04
1341,345668,2019-07-11,0.0595
2435,473040,2019-07-11,0.1832
1729,98243,2019-07-11,0.1101
2435,142724,2019-07-11,1.097
1302,345989,2019-07-11,0.32
1729,82587,2019-07-11,0.3841
1717,46503,2019-07-11,0.1921
1738,447713,2019-07-11,0
1729,56854,2019-07-11,0.2003
1302,115582,2019-07-11,0.1909
2435,120975,2019-07-11,0.6851
1717,143745,2019-07-11,29.8353
1302,476140,2019-07-11,0.0175
2435,417419,2019-07-11,0.4391
2435,68949,2019-07-11,0.0101
1302,468602,2019-07-11,1.9561
1302,12010,2019-07-11,0.2742
1341,69045,2019-07-11,1.2195
1302,18715,2019-07-11,9.6994
1302,63357,2019-07-11,2.0854
1717,417457,2019-07-11,1.3662
1302,901,2019-07-11,0.2041
1717,12997,2019-07-11,0.7056
2435,10528,2019-07-11,1.7264
1738,83379,2019-07-11,0.0056
1341,89326,2019-07-11,0.0314
1341,476348,2019-07-11,0.5576
1341,303040,2019-07-11,0.3072
1729,5350490,2019-07-11,0.0049
1738,88718,2019-07-11,0.2915
1341,77231,2019-07-11,0.0278
1738,441315,2019-07-11,0.4231
1729,73653,2019-07-11,0
1302,426947,2019-07-11,3.4024
1729,89135,2019-07-11,0.1065
2435,1311,2019-07-11,1.0104
1729,32537,2019-07-11,0.5883
1302,12614,2019-07-11,0.3701
1729,471114,2019-07-11,0.5795
