"COD_LOJA","plu","NOM_SECAO","NOM_CATEG","NOM_SUBCATEG","NOM_GRUPO","NOM_SUBGRUPO","NOM_PROD","FILL.P","N.DAYS","S.DAYS","N.TRANS","PROFIT"
1341,68765,"FRIOS TRANSFORMADOS","PEREC COMPLEMENTAR","QUEIJOS MANIPULADOS","QUEIJO MUSSARELA MANIPULADO","MUSSARELA PEDACO MANIPULADA","QJ MUCARELA NAC PED KG",92.86,756,702,77050,1200933.38
1341,41041,"CARNES E AVES","CARNES","BOVINOS","BOV-RESFRIADOS","RESF-BOVINO PEDACO","ALCATRA BOV RESF PEDACO          KG",55.21,748,413,14342,358135.08
1341,473217,"CARNES E AVES","CARNES","BOVINOS","BOV-RESFRIADOS","RUBIA GALLEGA","CG FILE MIGNON NOVILHO EXTRA LIMPO",71.96,756,544,6566,330089.86
1341,52375,"CARNES E AVES","CARNES","BOVINOS","BOV-RESFRIADOS","RESF-BOVINO PEDACO","COXAO DURO BOV RESF PEDACO       KG",70.37,756,532,11954,260900.9
1341,465656,"CARNES E AVES","CARNES","BOVINOS","BOV-RESFRIADOS","RUBIA GALLEGA","RG ALCATRA NOVILHO BIFE",53.34,748,399,7670,169483.34
1341,357111,"FRIOS TRANSFORMADOS","PEREC COMPLEMENTAR","QUEIJOS MANIPULADOS","QUEIJO MUSSARELA MANIPULADO","MUSSARELA FATIADA MANIPULADA","QJ MUS FAMILIAR FAT",72.09,756,545,5316,160949.54
1341,465977,"CARNES E AVES","CARNES","BOVINOS","BOV-RESFRIADOS","RUBIA GALLEGA","RG CAPA DE FILE NOVILHO PEDACO",10.39,722,75,1424,28362.24
1341,56854,"CARNES E AVES","CARNES","BOVINOS","BOV-RESFRIADOS","RESF-BOVNO BIFE","MAMINHA BOV RESF BIFE            KG",57.41,756,434,3744,50526.24
1341,465632,"CARNES E AVES","CARNES","BOVINOS","BOV-RESFRIADOS","RUBIA GALLEGA","RG FILE MIGNON NOVILHO BIFE",31.5,746,235,2692,110630.78
1341,77453,"CARNES E AVES","CARNES","BOVINOS","BOV-RESFRIADOS","RESF-BOVNO BIFE","BIFE C FILE BOV RES FAMILIAR     KG",84.82,751,637,4878,247183.06
1341,61643,"CARNES E AVES","CARNES","BOVINOS","BOV-RESFRIADOS","RESF-BOVNO BIFE","PICANHA BOV RESF BIFE            KG",22.28,718,160,684,16477.08
1341,54690,"CARNES E AVES","CARNES","BOVINOS","BOV-RESFRIADOS","RESF-BOVINO CORTE ESPECIAL","BIFE PANELA BOV RESF             KG",35.66,558,199,1116,9635.78
1341,19422,"CARNES E AVES","CARNES","BOVINOS","BOV-RESFRIADOS","RESF-BOVNO BIFE","BIFE CX DURO BOV RESF FAMILIAR  KG",43.16,746,322,1156,40256.28
1341,60066,"CARNES E AVES","CARNES","BOVINOS","BOV-RESFRIADOS","RESF-BOVINO PEDACO","PEITO BOV RESF PEDACO            KG",35.2,750,264,2186,37937.66
1341,473323,"CARNES E AVES","CARNES","BOVINOS","BOV-RESFRIADOS","RUBIA GALLEGA","RG ALCATRA NOVILHO STROGONOFF",77.78,756,588,3910,83223.46
1341,465960,"CARNES E AVES","CARNES","BOVINOS","BOV-RESFRIADOS","RUBIA GALLEGA","RG PEITO BOV RESF KG",15.71,643,101,1378,25948.72
1341,119993,"CARNES E AVES","CARNES","BOVINOS","BOV-RESFRIADOS","RUBIA GALLEGA","RG PALETA NOVILHO BIFE BORBOLETA",20.82,730,152,580,6503.9
